track_uri,artist_uri
spotify:track:4k4BYoSjcz8vU78CvnB14K,spotify:artist:3cIXmCH7iNcslTbwrwS7zy
spotify:track:4k4BYoSjcz8vU78CvnB14K,spotify:artist:4o8Ym9oEUGrcZ3YheYLrZo
spotify:track:1n7vGBgXlWujuQvcwZ2xTo,spotify:artist:04gDigrS5kc9YWfZHwBETP
spotify:track:31I568auQdhEWVZ5xLMbVe,spotify:artist:1LftWcqpFbqz81DS27TByR
spotify:track:31I568auQdhEWVZ5xLMbVe,spotify:artist:4BR7HZMo6r6KMIfUIVAPrh
spotify:track:1SWtzh0fKCtJsEr81LQBwK,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM
spotify:track:1SWtzh0fKCtJsEr81LQBwK,spotify:artist:0vzlcDC7qhbx7pm9ExsQV7
spotify:track:6uBhi9gBXWjanegOb2Phh0,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
spotify:track:6uBhi9gBXWjanegOb2Phh0,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
spotify:track:7zTsQEfFbvi8eMXOK5z5OY,spotify:artist:1moxjboGR7GNWYIMWsRjgG
spotify:track:3ZUMC5OazTA8QtLpdlPdz9,spotify:artist:7gjAu1qr5C2grXeQFFOGeh
spotify:track:75ylrnob5O80WTKi9ugZ1Z,spotify:artist:7hOGhpa8RMSuDOWntGIAJt
spotify:track:4dqnFd0dfgh4HgZ1w3AGTE,spotify:artist:1vlR56ECqMAOA2mUTcTgPV
spotify:track:4dqnFd0dfgh4HgZ1w3AGTE,spotify:artist:7f5Zgnp2spUuuzKplmRkt7
spotify:track:6sq6N4WAQMD4daLEYMkVIn,spotify:artist:5Kmr0b3ip8g9P2i0dLTC3Z
spotify:track:6sq6N4WAQMD4daLEYMkVIn,spotify:artist:1h3FqMYVUwDK9rJrxIBNAx
spotify:track:34ABwSZuyaTzZOaCaF4EOR,spotify:artist:0PxzGnCYBpSuaI49OR94cA
spotify:track:2s9C5THb9llwyVXtjveV4E,spotify:artist:5Q81rlcTFh3k6DQJXPdsot
spotify:track:2s9C5THb9llwyVXtjveV4E,spotify:artist:7aFTOGFDEqDtJUCziLVsVC
spotify:track:15vzANxN8G9wWfwAJLLMCg,spotify:artist:69GGBxA162lTqCwzJG5jLp
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
spotify:track:0gZSvh4emENER9WH8hXG68,spotify:artist:4Jv9I6DAbcjDa8HGFAjv94
spotify:track:2JGSYOFs3qNgd4hhvhrkf8,spotify:artist:4GJ0oJKgvJmxX4BEBIT2pa
spotify:track:5hmJIY19Z6bLs0JNsrAMPD,spotify:artist:6xeFne1rkxMhKSW3ipvkdV
spotify:track:6GIRtKNXokeu25nn7U6Hu8,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
spotify:track:6GIRtKNXokeu25nn7U6Hu8,spotify:artist:5iNrZmtVMtYev5M9yoWpEq
spotify:track:2LR7ba5oU2T0Nk3J2qs33M,spotify:artist:4AGwPDdh1y8hochNzHy5HC
spotify:track:2LR7ba5oU2T0Nk3J2qs33M,spotify:artist:5VsOThWOagH8C8gCvIy13k
spotify:track:7N0dWrGwNFWXVxxT0t8Zww,spotify:artist:2feDdbD5araYcm6JhFHHw7
spotify:track:7N0dWrGwNFWXVxxT0t8Zww,spotify:artist:4CuipEvwcoQggmCV8jpKF9
spotify:track:0k93MXOj0kSXo84SvSDeUz,spotify:artist:61lyPtntblHJvA7FMMhi7E
spotify:track:6L778PA16SuyYvFhqnMndY,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
spotify:track:6L778PA16SuyYvFhqnMndY,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
spotify:track:6L778PA16SuyYvFhqnMndY,spotify:artist:23fqKkggKUBHNkbKtXEls4
spotify:track:13CR9dPNbuH2li1xaepFe0,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0
spotify:track:15uFqHGAOvaGCqikvgiW6w,spotify:artist:1IELhvOMg5VQlU7syRm6CS
spotify:track:15uFqHGAOvaGCqikvgiW6w,spotify:artist:5mKNjpx3SmjNqtxQTmuo9Z
spotify:track:35XoZs4C4w3TITrVkKJLPM,spotify:artist:6u17YlWtW4oqFF5Hn9UU79
spotify:track:4CTpqO8GXASXFlcoIjGe56,spotify:artist:4sTQVOfp9vEMCemLw50sbu
spotify:track:4CTpqO8GXASXFlcoIjGe56,spotify:artist:1jVkdbuMKszbnubrioJxGr
spotify:track:4CTpqO8GXASXFlcoIjGe56,spotify:artist:73tITL3u5T35u309PLpN6K
spotify:track:4rHIGjDTXXL9Eudf3YF036,spotify:artist:3AlRiyjMywTVNzTcHbf9QT
spotify:track:4rHIGjDTXXL9Eudf3YF036,spotify:artist:5eir5zFJpES4j7gsymbVyl
spotify:track:14W1QY0DIY6U0g0IWdYpmk,spotify:artist:02A3cEvlLLCbIMVDrK2GHV
spotify:track:6a4CIaD40JYYDc4f1yul5o,spotify:artist:5KNNVgR6LBIABRIomyCwKJ
spotify:track:6a4CIaD40JYYDc4f1yul5o,spotify:artist:49GY4uPAwdlk5lSGtfKWYl
spotify:track:7nrvVjUXIqWvjZLCoeHAqy,spotify:artist:7gjAu1qr5C2grXeQFFOGeh
spotify:track:0kOUusNPraZGQfqcnA1zoP,spotify:artist:6JL8zeS1NmiOftqZTRgdTz
spotify:track:0kOUusNPraZGQfqcnA1zoP,spotify:artist:3UTCjjwxYJioyA39EX6ciu
spotify:track:6BnONjR7itGMEqwxKTIlRM,spotify:artist:4gwpcMTbLWtBUlOijbVpuu
spotify:track:7ahcfITUXa1W8OH9AXWWTx,spotify:artist:4bL2B6hmLlMWnUEZnorEtG
spotify:track:7ahcfITUXa1W8OH9AXWWTx,spotify:artist:2imjU2m4m9AOncNPEsKx7I
spotify:track:0R5GHstZfGdRcfXrAcL7Sd,spotify:artist:28yVvEvA2lT3K5RNIhV1Dj
spotify:track:0R5GHstZfGdRcfXrAcL7Sd,spotify:artist:14rP13jdQNgQvuPA2AkBgm
spotify:track:65LMre3AmSBiaHhdw7l57l,spotify:artist:1GmsPCcpKgF9OhlNXjOsbS
spotify:track:7n9Q6bXSjm74uCtajkddPt,spotify:artist:06HL4z0CvFAxyc27GXpf02
spotify:track:7vfWgVGiLgnGbInU5lvSQg,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa
spotify:track:7vfWgVGiLgnGbInU5lvSQg,spotify:artist:5iNrZmtVMtYev5M9yoWpEq
spotify:track:4iZPNYqzI2L0uwuUKun7Aa,spotify:artist:23fqKkggKUBHNkbKtXEls4
spotify:track:4iZPNYqzI2L0uwuUKun7Aa,spotify:artist:48sLioddyaXkuhyHXSkpsB
spotify:track:1p69Smtz1X3HDxcebmd2cr,spotify:artist:1y07gMlsfAdz2KOvZzyUTB
spotify:track:1SHA4IJyiyNobDOrQzFFXy,spotify:artist:7pXu47GoqSYRajmBCjxdD6
spotify:track:1SHA4IJyiyNobDOrQzFFXy,spotify:artist:1kkjXmcMmibTegsw0JtDwv
spotify:track:4vJAhLLHcgPeR3pQopGaIG,spotify:artist:1moxjboGR7GNWYIMWsRjgG
spotify:track:203t5YqpCFmIdxj8hIotxo,spotify:artist:6hfwwpXqZPRC9CsKI7qtv1
spotify:track:203t5YqpCFmIdxj8hIotxo,spotify:artist:0tOrKkXIn3VYyVHFEPG6Xd
spotify:track:203t5YqpCFmIdxj8hIotxo,spotify:artist:4bL2B6hmLlMWnUEZnorEtG
spotify:track:27Wke6YwdGGvpWiwye9Q6v,spotify:artist:0cmWgDlu9CwTgxPhf403hb
spotify:track:6tfb2ZH1L2snTmLQeqtMhZ,spotify:artist:7y97mc3bZRFXzT2szRM4L4
