artist_uri,genre
spotify:artist:6vNe5MINTo5QZyR08sBOBA,german dance
spotify:artist:7K1v3zQdCvnxHvelcbTcZ0,europop
spotify:artist:5pDjmC5mRl7vDJhsjVwNfk,uk pop
spotify:artist:4o8Ym9oEUGrcZ3YheYLrZo,""
spotify:artist:5wPoxI5si3eJsYYwyXV4Wi,hip hop
spotify:artist:5wPoxI5si3eJsYYwyXV4Wi,virginia hip hop
spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp,australian hip hop
spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp,australian underground hip hop
spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp,west australian hip hop
spotify:artist:28cJkEa8tILrDI2Em2mtmX,""
spotify:artist:6Si6fslrH2xSORoY5TclT5,uk pop
spotify:artist:5ODqFVCEcrf0rK9LcKhuC1,""
spotify:artist:4kwEd1P9j15ZqUVP5zK7Pv,deep groove house
spotify:artist:4kwEd1P9j15ZqUVP5zK7Pv,electro house
spotify:artist:4kwEd1P9j15ZqUVP5zK7Pv,house
spotify:artist:4kwEd1P9j15ZqUVP5zK7Pv,pop dance
spotify:artist:4kwEd1P9j15ZqUVP5zK7Pv,pop edm
spotify:artist:2r9voGg062JncuzN9tarw2,""
spotify:artist:5Rl15oVamLq7FbSb0NNBNy,boy band
spotify:artist:5Rl15oVamLq7FbSb0NNBNy,dance pop
spotify:artist:5Rl15oVamLq7FbSb0NNBNy,pop
spotify:artist:5Rl15oVamLq7FbSb0NNBNy,post-teen pop
spotify:artist:0vM1trmyete4cywLl4eJj3,nu disco
spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,dance pop
spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,edm
spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,pop
spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,pop dance
spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,tropical house
spotify:artist:15FyiY3ChN0QRspHIQYq0W,adult standards
spotify:artist:15FyiY3ChN0QRspHIQYq0W,doo-wop
spotify:artist:15FyiY3ChN0QRspHIQYq0W,lounge
spotify:artist:15FyiY3ChN0QRspHIQYq0W,rock-and-roll
spotify:artist:15FyiY3ChN0QRspHIQYq0W,rockabilly
spotify:artist:2atwG2TdLJ99UpJVxXi3E4,new french touch
spotify:artist:1pWigxBjUwEk9xH0Ks1r8L,australian hip hop
spotify:artist:1PAn2z7cLcCoRWdGpUU7Qb,pop edm
spotify:artist:31JFnMfmvwzZGdEnXaKGek,musique guadeloupe
spotify:artist:0H4lEdOgBhMO4iLjh5eWRp,""
spotify:artist:4NTnwCK3RqTBH7TFIQrkfL,new french touch
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,electronica
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,german techno
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,hamburg electronic
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,microhouse
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,minimal techno
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,organic electronic
spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,tech house
spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,rap kreyol
spotify:artist:2Axfmy8RlEqUHpK81UUOOd,""
spotify:artist:5gTqc3p5WdszJ2AtGElosu,""
spotify:artist:0RpddSzUHfncUWNJXKOsjy,indie poptimism
spotify:artist:0RpddSzUHfncUWNJXKOsjy,modern alternative rock
spotify:artist:0RpddSzUHfncUWNJXKOsjy,modern rock
spotify:artist:0RpddSzUHfncUWNJXKOsjy,pop rock
spotify:artist:0RpddSzUHfncUWNJXKOsjy,rock
spotify:artist:7surbXBuwlTdCw2NlEuzU2,""
spotify:artist:76SlrtEaq2oViRXulxjfuM,chicago rap
spotify:artist:76SlrtEaq2oViRXulxjfuM,dance pop
spotify:artist:76SlrtEaq2oViRXulxjfuM,rap
spotify:artist:76SlrtEaq2oViRXulxjfuM,trap queen
spotify:artist:76SlrtEaq2oViRXulxjfuM,viral rap
spotify:artist:0QHgL1lAIqAw0HtD7YldmP,hip hop
spotify:artist:0QHgL1lAIqAw0HtD7YldmP,miami hip hop
spotify:artist:0QHgL1lAIqAw0HtD7YldmP,pop rap
spotify:artist:0QHgL1lAIqAw0HtD7YldmP,rap
spotify:artist:0QHgL1lAIqAw0HtD7YldmP,southern hip hop
spotify:artist:0QHgL1lAIqAw0HtD7YldmP,trap
spotify:artist:4pSGHK662YAtHNu84LyBER,disco house
spotify:artist:4pSGHK662YAtHNu84LyBER,vocal house
spotify:artist:5uEeqYFuIChoWKy34jp8xE,covertronica
spotify:artist:5uEeqYFuIChoWKy34jp8xE,dance pop
spotify:artist:5uEeqYFuIChoWKy34jp8xE,edm
spotify:artist:5uEeqYFuIChoWKy34jp8xE,electro house
spotify:artist:5uEeqYFuIChoWKy34jp8xE,pop dance
spotify:artist:5uEeqYFuIChoWKy34jp8xE,pop edm
spotify:artist:5uEeqYFuIChoWKy34jp8xE,tropical house
spotify:artist:5rG00A9pRANrMDzVI3DrmF,edm
spotify:artist:5rG00A9pRANrMDzVI3DrmF,electro house
spotify:artist:5rG00A9pRANrMDzVI3DrmF,house
spotify:artist:5rG00A9pRANrMDzVI3DrmF,pop dance
spotify:artist:5rG00A9pRANrMDzVI3DrmF,pop edm
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,bow pop
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,british contemporary classical
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,british soundtrack
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,compositional ambient
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,minimalism
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,post-minimalism
spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,soundtrack
spotify:artist:3d5usliWmjkMKGsv2X341Q,alternative emo
spotify:artist:3d5usliWmjkMKGsv2X341Q,indie punk
spotify:artist:3d5usliWmjkMKGsv2X341Q,modern power pop
spotify:artist:3d5usliWmjkMKGsv2X341Q,philly indie
spotify:artist:5zrD2ZqM6SB5XRJJwTroAu,""
spotify:artist:3SrMoafhAgWJCQJgTQvUl6,""
spotify:artist:4Ki9oFarfgc2BQa6zbT8DK,""
spotify:artist:7qPISKHhhKDLZTmYcX7bWd,dancehall
spotify:artist:7qPISKHhhKDLZTmYcX7bWd,uk dancehall
spotify:artist:74AV853eXs56Dqe8TSahzk,""
spotify:artist:0cVGrRvml0zvR3G6GoG1TN,""
spotify:artist:0JvKdVXySsrLWA3TO4uSnE,""
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,alt z
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,dance pop
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,edm
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,electropop
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,pop
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,pop dance
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,post-teen pop
spotify:artist:6Dd3NScHWwnW6obMFbl1BH,tropical house
spotify:artist:4h4QfumD8wt6RRLvgu58p5,""
spotify:artist:4OKxdPfybjZIWXLj8rml2s,""
spotify:artist:73C7eV9oN6yGgLSu8vIO4R,new french touch
spotify:artist:73C7eV9oN6yGgLSu8vIO4R,tropical house
spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,classic soul
spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,funk
spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,new orleans funk
spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,new orleans soul
spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,rhythm and blues
spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,soul
spotify:artist:30nlCWa2AGaA0j2ZBRfuMf,aussietronica
spotify:artist:7bPU7cvfoD20ixGD9Qnqki,classic rock
spotify:artist:7bPU7cvfoD20ixGD9Qnqki,classic uk pop
spotify:artist:7bPU7cvfoD20ixGD9Qnqki,folk rock
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,alternative hip hop
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,conscious hip hop
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,east coast hip hop
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,gangster rap
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,hardcore hip hop
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,hip hop
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,rap
spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,southern hip hop
spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,disco
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,chill r&b
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,dance pop
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,indie r&b
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,pop
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,pop r&b
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,r&b
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,rap
spotify:artist:7jZMxhsB8djyIbYmoiJSTs,urban contemporary
spotify:artist:4PIv3Lyk3erxjcwBZFVNgi,south african pop
spotify:artist:2RgfDvNnwJPMLSUu6H3kuq,canadian pop
spotify:artist:6kvuWxnfDOejSwLyAliFfY,""
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,edm
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,electro house
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,electronic trap
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,electropop
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,mashup
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,pop dance
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,pop edm
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,progressive electro house
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,progressive house
spotify:artist:4YLQaW1UU3mrVetC8gNkg5,tropical house
spotify:artist:4YJlpG8fCq38GnS8ElByiF,""
spotify:artist:3oAazIwC0nAYkOKVQPUC38,""
spotify:artist:6AgTAQt8XS6jRWi4sX7w49,chicago rap
spotify:artist:6AgTAQt8XS6jRWi4sX7w49,rap
spotify:artist:2TCyfTG9UWaZYgbg0bmFmG,""
spotify:artist:2OTBn9LN1AkDc7lFlLwlAX,""
spotify:artist:721T2PETMLaAkijbYu05VD,deep tropical house
spotify:artist:721T2PETMLaAkijbYu05VD,pop dance
spotify:artist:721T2PETMLaAkijbYu05VD,tropical house
spotify:artist:64vZ6lXTypLN9etgdNxO7E,""
spotify:artist:1X6dfPmF8f5C5EW3WIGfvm,deep tropical house
spotify:artist:1X6dfPmF8f5C5EW3WIGfvm,norwegian pop
spotify:artist:1X6dfPmF8f5C5EW3WIGfvm,scandipop
spotify:artist:1X6dfPmF8f5C5EW3WIGfvm,tropical house
spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,alt z
spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,nz pop
spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,pop
spotify:artist:4esh7ShzUg71omeoIPnaii,triangle indie
spotify:artist:73eAAfRkS2Vi4hx68oTJJE,electropop
spotify:artist:73eAAfRkS2Vi4hx68oTJJE,pop
spotify:artist:3d13oWvwmjcodRr3NzdArc,tropical house
spotify:artist:33W1pnW9zScZtYTnAoWnOT,dutch hip hop
spotify:artist:33W1pnW9zScZtYTnAoWnOT,tropical house
spotify:artist:6Ytnandp3KSDg0msjBZ7wC,""
spotify:artist:2P3TZt1qVLIySorIhiVoVq,""
spotify:artist:0jS6VTFGujWxinY5TSQwOG,acid house
spotify:artist:0jS6VTFGujWxinY5TSQwOG,classic house
spotify:artist:0jS6VTFGujWxinY5TSQwOG,detroit techno
spotify:artist:0jS6VTFGujWxinY5TSQwOG,techno
spotify:artist:2T3nYPjWXSAT8K7Gk2aXdT,compositional ambient
spotify:artist:2T3nYPjWXSAT8K7Gk2aXdT,focus
spotify:artist:2T3nYPjWXSAT8K7Gk2aXdT,neo-classical
spotify:artist:0UNvRHyygVMAdJL2OYJS9q,""
spotify:artist:4DMDkM0xOw9eBeCpW60ycz,austrian pop
spotify:artist:4F18x5o9JJ3TbuXfyry04n,""
spotify:artist:25UzUBawTt2efMKKYNE4Qy,""
spotify:artist:07tnQRce7zhfCdMw07pzGH,""
spotify:artist:2YdRnOqBXCl9g8xCLcGh8C,classical performance
spotify:artist:2YdRnOqBXCl9g8xCLcGh8C,russian classical piano
spotify:artist:0QAS7N8bEHjfq8QEcDXvyd,australian r&b
spotify:artist:6V0UIhxibbgh9q9eYKImW7,""
spotify:artist:3A9B6c1CrSPauiOblw7pWz,german pop
spotify:artist:77oIc9PKdd3TdbqfGsi0Jx,""
spotify:artist:4GwCanrqEtG8SVYYY21rH5,""
spotify:artist:6KZDXtSj0SzGOV705nNeh3,dance pop
spotify:artist:6KZDXtSj0SzGOV705nNeh3,pop rap
spotify:artist:6KZDXtSj0SzGOV705nNeh3,rap
spotify:artist:6KZDXtSj0SzGOV705nNeh3,southern hip hop
spotify:artist:6KZDXtSj0SzGOV705nNeh3,trap
spotify:artist:7rEoWSmtfAdSxqZZceghya,""
spotify:artist:1rAv1GhTQ2rmG94p9lU3rB,indie rock
spotify:artist:7K1v3zQdCvnxHvelcbTcZ0,europop
spotify:artist:6JtWu7EQUhFCLNZU92kq1o,electro house
spotify:artist:50hiYMhi0g77BOkkQ4zebB,classical
spotify:artist:50hiYMhi0g77BOkkQ4zebB,classical cello
spotify:artist:50hiYMhi0g77BOkkQ4zebB,classical performance
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,dance pop
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,edm
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,pop
spotify:artist:64M6ah0SkkRsnPGtGiRAbb,post-teen pop
spotify:artist:3exgfhlQ9X7SmQtGLcqfAv,""
spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,new wave pop
spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,rock keyboard
spotify:artist:0DCRUk25XIiRFiNtiuR8OR,""
spotify:artist:1p6CdzJRoicjRcSdWoB9Qc,contemporary country
spotify:artist:1p6CdzJRoicjRcSdWoB9Qc,country
spotify:artist:1p6CdzJRoicjRcSdWoB9Qc,country road
spotify:artist:1p6CdzJRoicjRcSdWoB9Qc,heartland rock
spotify:artist:7dPE07dAqbgWkJEdewUJDC,""
spotify:artist:4L4JDgbcKHiYJ6kI1QBt7q,""
spotify:artist:5OFAulDhepmMEGFHv8cVKH,""
spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,electropowerpop
spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,neon pop punk
spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,pop dance
spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,pop punk
spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,screamo
spotify:artist:53M4Iv2RkzzxFFvW2B1jhC,trancecore
spotify:artist:3rjHIPFed2qITXAWvArRtp,norwegian pop
spotify:artist:3oMyZEP3j8UThGFd88f6aG,""
spotify:artist:77tT1kLj6mCWtFNqiOmP9H,album rock
spotify:artist:77tT1kLj6mCWtFNqiOmP9H,classic rock
spotify:artist:77tT1kLj6mCWtFNqiOmP9H,mellow gold
spotify:artist:77tT1kLj6mCWtFNqiOmP9H,rock
spotify:artist:77tT1kLj6mCWtFNqiOmP9H,soft rock
spotify:artist:77tT1kLj6mCWtFNqiOmP9H,yacht rock
spotify:artist:5stK6mv8dlKYQmZIvr8N6D,""
