id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0OrgLihxmtrXMdFOdE12YO,0.729,0.486,0.0,-8.388,1.0,0.0282,0.0358,0.636,0.102,0.131,112.056,audio_features,spotify:track:0OrgLihxmtrXMdFOdE12YO,https://api.spotify.com/v1/tracks/0OrgLihxmtrXMdFOdE12YO,https://api.spotify.com/v1/audio-analysis/0OrgLihxmtrXMdFOdE12YO,244286.0,4.0
1QzhK9kJXUM1k6vLJZr4iw,0.732,0.608,0.0,-5.52,0.0,0.03,0.0131,0.527,0.103,0.438,121.962,audio_features,spotify:track:1QzhK9kJXUM1k6vLJZr4iw,https://api.spotify.com/v1/tracks/1QzhK9kJXUM1k6vLJZr4iw,https://api.spotify.com/v1/audio-analysis/1QzhK9kJXUM1k6vLJZr4iw,190816.0,4.0
25XEG0uXmn4AhvxJ2W4MJD,0.595,0.825,6.0,-4.773,0.0,0.073,0.0527,5.83e-06,0.0883,0.193,119.668,audio_features,spotify:track:25XEG0uXmn4AhvxJ2W4MJD,https://api.spotify.com/v1/tracks/25XEG0uXmn4AhvxJ2W4MJD,https://api.spotify.com/v1/audio-analysis/25XEG0uXmn4AhvxJ2W4MJD,200480.0,4.0
0agehDrq7ZHos1Di3Gv4Co,0.661,0.538,9.0,-9.414,0.0,0.0411,0.0457,0.0106,0.241,0.0928,100.041,audio_features,spotify:track:0agehDrq7ZHos1Di3Gv4Co,https://api.spotify.com/v1/tracks/0agehDrq7ZHos1Di3Gv4Co,https://api.spotify.com/v1/audio-analysis/0agehDrq7ZHos1Di3Gv4Co,264486.0,4.0
6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5.0,-6.761,1.0,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,audio_features,spotify:track:6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/tracks/6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/audio-analysis/6nek1Nin9q48AVZcWs9e9D,278719.0,4.0
1rER3f2g7zajBzjBwRyRlb,0.81,0.818,11.0,-5.791,1.0,0.139,0.00486,0.382,0.0712,0.344,123.945,audio_features,spotify:track:1rER3f2g7zajBzjBwRyRlb,https://api.spotify.com/v1/tracks/1rER3f2g7zajBzjBwRyRlb,https://api.spotify.com/v1/audio-analysis/1rER3f2g7zajBzjBwRyRlb,283548.0,4.0
5YJZJDjUMv4XCq0KR46YPC,0.866,0.476,9.0,-7.195,0.0,0.0487,0.00875,0.117,0.123,0.593,124.989,audio_features,spotify:track:5YJZJDjUMv4XCq0KR46YPC,https://api.spotify.com/v1/tracks/5YJZJDjUMv4XCq0KR46YPC,https://api.spotify.com/v1/audio-analysis/5YJZJDjUMv4XCq0KR46YPC,223485.0,4.0
6SLplSKU45KJzApnlp946m,0.848,0.638,2.0,-7.776,0.0,0.0791,0.352,0.0364,0.0856,0.62,115.009,audio_features,spotify:track:6SLplSKU45KJzApnlp946m,https://api.spotify.com/v1/tracks/6SLplSKU45KJzApnlp946m,https://api.spotify.com/v1/audio-analysis/6SLplSKU45KJzApnlp946m,223401.0,4.0
1L1Cexxw0l2jztminV9seO,0.612,0.815,11.0,-6.38,1.0,0.033,0.0962,0.0,0.0952,0.65,128.048,audio_features,spotify:track:1L1Cexxw0l2jztminV9seO,https://api.spotify.com/v1/tracks/1L1Cexxw0l2jztminV9seO,https://api.spotify.com/v1/audio-analysis/1L1Cexxw0l2jztminV9seO,216240.0,4.0
7InzQLR47Yhmyd9FIQUnUP,0.651,0.642,10.0,-7.095,1.0,0.0656,0.429,0.0,0.187,0.55,121.048,audio_features,spotify:track:7InzQLR47Yhmyd9FIQUnUP,https://api.spotify.com/v1/tracks/7InzQLR47Yhmyd9FIQUnUP,https://api.spotify.com/v1/audio-analysis/7InzQLR47Yhmyd9FIQUnUP,199339.0,4.0
