id,genres,name,popularity,type,uri,total_followers
4Q6bcEc5YCypvMZ5kjaTMp,australian hip hop;australian underground hip hop;west australian hip hop,Drapht,50,artist,spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp,122039
28cJkEa8tILrDI2Em2mtmX,"",Lisa May,26,artist,spotify:artist:28cJkEa8tILrDI2Em2mtmX,3262
6Si6fslrH2xSORoY5TclT5,uk pop,RIKA,43,artist,spotify:artist:6Si6fslrH2xSORoY5TclT5,29379
5ODqFVCEcrf0rK9LcKhuC1,"",Wise,0,artist,spotify:artist:5ODqFVCEcrf0rK9LcKhuC1,0
4kwEd1P9j15ZqUVP5zK7Pv,deep groove house;electro house;house;pop dance;pop edm,Joe Stone,53,artist,spotify:artist:4kwEd1P9j15ZqUVP5zK7Pv,33204
2r9voGg062JncuzN9tarw2,"",Annelisa Franklin,27,artist,spotify:artist:2r9voGg062JncuzN9tarw2,497
5Rl15oVamLq7FbSb0NNBNy,boy band;dance pop;pop;post-teen pop,5 Seconds of Summer,79,artist,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,9038715
0vM1trmyete4cywLl4eJj3,nu disco,Perseus,27,artist,spotify:artist:0vM1trmyete4cywLl4eJj3,9146
2ZRQcIgzPCVaT9XKhXZIzh,dance pop;edm;pop;pop dance;tropical house,Gryffin,73,artist,spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh,878767
15FyiY3ChN0QRspHIQYq0W,adult standards;doo-wop;lounge;rock-and-roll;rockabilly,Dion,57,artist,spotify:artist:15FyiY3ChN0QRspHIQYq0W,175656
2atwG2TdLJ99UpJVxXi3E4,new french touch,Dizaro,48,artist,spotify:artist:2atwG2TdLJ99UpJVxXi3E4,9639
1pWigxBjUwEk9xH0Ks1r8L,australian hip hop,L-FRESH The LION,28,artist,spotify:artist:1pWigxBjUwEk9xH0Ks1r8L,8564
1PAn2z7cLcCoRWdGpUU7Qb,pop edm,Griffin Stoller,33,artist,spotify:artist:1PAn2z7cLcCoRWdGpUU7Qb,21297
31JFnMfmvwzZGdEnXaKGek,musique guadeloupe,Herve Pagez,34,artist,spotify:artist:31JFnMfmvwzZGdEnXaKGek,5006
0H4lEdOgBhMO4iLjh5eWRp,"",Falco Van Den Aker,8,artist,spotify:artist:0H4lEdOgBhMO4iLjh5eWRp,487
4NTnwCK3RqTBH7TFIQrkfL,new french touch,PLÜM,61,artist,spotify:artist:4NTnwCK3RqTBH7TFIQrkfL,43132
1oXiuCd5F0DcnmXH5KaM6N,electronica;german techno;hamburg electronic;microhouse;minimal techno;organic electronic;tech house,Kollektiv Turmstrasse,47,artist,spotify:artist:1oXiuCd5F0DcnmXH5KaM6N,235238
7aBzpmFXB4WWpPl2F7RjBe,rap kreyol,Wyclef Jean,71,artist,spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,284076
2Axfmy8RlEqUHpK81UUOOd,"",Sam Sure,30,artist,spotify:artist:2Axfmy8RlEqUHpK81UUOOd,9538
5gTqc3p5WdszJ2AtGElosu,"",LRMEO,23,artist,spotify:artist:5gTqc3p5WdszJ2AtGElosu,142
0RpddSzUHfncUWNJXKOsjy,indie poptimism;modern alternative rock;modern rock;pop rock;rock,Neon Trees,66,artist,spotify:artist:0RpddSzUHfncUWNJXKOsjy,1198632
7surbXBuwlTdCw2NlEuzU2,"",Martin Vallée,12,artist,spotify:artist:7surbXBuwlTdCw2NlEuzU2,304
76SlrtEaq2oViRXulxjfuM,chicago rap;dance pop;rap;trap queen;viral rap,cupcakKe,59,artist,spotify:artist:76SlrtEaq2oViRXulxjfuM,773689
0QHgL1lAIqAw0HtD7YldmP,hip hop;miami hip hop;pop rap;rap;southern hip hop;trap,DJ Khaled,79,artist,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,8838987
4pSGHK662YAtHNu84LyBER,disco house;vocal house,Junior J,25,artist,spotify:artist:4pSGHK662YAtHNu84LyBER,2549
5uEeqYFuIChoWKy34jp8xE,covertronica;dance pop;edm;electro house;pop dance;pop edm;tropical house,Brando,67,artist,spotify:artist:5uEeqYFuIChoWKy34jp8xE,19166
5rG00A9pRANrMDzVI3DrmF,edm;electro house;house;pop dance;pop edm,DLMT,50,artist,spotify:artist:5rG00A9pRANrMDzVI3DrmF,31649
2LvhyFvUCDJ7gFuEBOcrM8,bow pop;british contemporary classical;british soundtrack;compositional ambient;minimalism;post-minimalism;soundtrack,Michael Nyman,53,artist,spotify:artist:2LvhyFvUCDJ7gFuEBOcrM8,195686
3d5usliWmjkMKGsv2X341Q,alternative emo;indie punk;modern power pop;philly indie,Beach Slang,29,artist,spotify:artist:3d5usliWmjkMKGsv2X341Q,36080
5zrD2ZqM6SB5XRJJwTroAu,"",Marques Toliver,40,artist,spotify:artist:5zrD2ZqM6SB5XRJJwTroAu,3502
3SrMoafhAgWJCQJgTQvUl6,"",George Stoll,5,artist,spotify:artist:3SrMoafhAgWJCQJgTQvUl6,29
4Ki9oFarfgc2BQa6zbT8DK,"",Mike Slap,28,artist,spotify:artist:4Ki9oFarfgc2BQa6zbT8DK,1968
7qPISKHhhKDLZTmYcX7bWd,dancehall;uk dancehall,Stylo G,53,artist,spotify:artist:7qPISKHhhKDLZTmYcX7bWd,101727
74AV853eXs56Dqe8TSahzk,"",Husky,37,artist,spotify:artist:74AV853eXs56Dqe8TSahzk,227
0cVGrRvml0zvR3G6GoG1TN,"",Niwel,30,artist,spotify:artist:0cVGrRvml0zvR3G6GoG1TN,16951
0JvKdVXySsrLWA3TO4uSnE,"",Gyo Kretz,28,artist,spotify:artist:0JvKdVXySsrLWA3TO4uSnE,995
6Dd3NScHWwnW6obMFbl1BH,alt z;dance pop;edm;electropop;pop;pop dance;post-teen pop;tropical house,Daya,70,artist,spotify:artist:6Dd3NScHWwnW6obMFbl1BH,1445328
4h4QfumD8wt6RRLvgu58p5,"",Phoebe Lou,18,artist,spotify:artist:4h4QfumD8wt6RRLvgu58p5,111
4OKxdPfybjZIWXLj8rml2s,"",KimBlee,35,artist,spotify:artist:4OKxdPfybjZIWXLj8rml2s,277
73C7eV9oN6yGgLSu8vIO4R,new french touch;tropical house,MVCA,52,artist,spotify:artist:73C7eV9oN6yGgLSu8vIO4R,5243
0En4EEcDMJ5kaUCf1aZ9js,classic soul;funk;new orleans funk;new orleans soul;rhythm and blues;soul,Lee Dorsey,45,artist,spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,42246
30nlCWa2AGaA0j2ZBRfuMf,aussietronica,Anatole,14,artist,spotify:artist:30nlCWa2AGaA0j2ZBRfuMf,3565
7bPU7cvfoD20ixGD9Qnqki,classic rock;classic uk pop;folk rock,Stealers Wheel,62,artist,spotify:artist:7bPU7cvfoD20ixGD9Qnqki,129311
0Mz5XE0kb1GBnbLQm2VbcO,alternative hip hop;conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap;southern hip hop,Mos Def,65,artist,spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO,1296057
5Pqx4mXYDGIDcg8E5FYjZ8,disco,Carl Douglas,52,artist,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,27120
7jZMxhsB8djyIbYmoiJSTs,chill r&b;dance pop;indie r&b;pop;pop r&b;r&b;rap;urban contemporary,Kiana Ledé,65,artist,spotify:artist:7jZMxhsB8djyIbYmoiJSTs,1401083
4PIv3Lyk3erxjcwBZFVNgi,south african pop,Dominic Neill,51,artist,spotify:artist:4PIv3Lyk3erxjcwBZFVNgi,1625
2RgfDvNnwJPMLSUu6H3kuq,canadian pop,Tilsen,43,artist,spotify:artist:2RgfDvNnwJPMLSUu6H3kuq,2002
6kvuWxnfDOejSwLyAliFfY,"",Alvix,25,artist,spotify:artist:6kvuWxnfDOejSwLyAliFfY,838
4YLQaW1UU3mrVetC8gNkg5,edm;electro house;electronic trap;electropop;mashup;pop dance;pop edm;progressive electro house;progressive house;tropical house,3LAU,57,artist,spotify:artist:4YLQaW1UU3mrVetC8gNkg5,332488
4YJlpG8fCq38GnS8ElByiF,"",Sound Dreamer,42,artist,spotify:artist:4YJlpG8fCq38GnS8ElByiF,1804
3oAazIwC0nAYkOKVQPUC38,"",Sirah,55,artist,spotify:artist:3oAazIwC0nAYkOKVQPUC38,17960
6AgTAQt8XS6jRWi4sX7w49,chicago rap;rap,Polo G,84,artist,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,8770377
2TCyfTG9UWaZYgbg0bmFmG,"",Nursery Rhymes,50,artist,spotify:artist:2TCyfTG9UWaZYgbg0bmFmG,39947
2OTBn9LN1AkDc7lFlLwlAX,"",KEPLER,33,artist,spotify:artist:2OTBn9LN1AkDc7lFlLwlAX,442
721T2PETMLaAkijbYu05VD,deep tropical house;pop dance;tropical house,Junge Junge,51,artist,spotify:artist:721T2PETMLaAkijbYu05VD,59793
64vZ6lXTypLN9etgdNxO7E,"",Vacation Club,25,artist,spotify:artist:64vZ6lXTypLN9etgdNxO7E,2878
1X6dfPmF8f5C5EW3WIGfvm,deep tropical house;norwegian pop;scandipop;tropical house,SJUR,39,artist,spotify:artist:1X6dfPmF8f5C5EW3WIGfvm,30251
0Cp8WN4V8Tu4QJQwCN5Md4,alt z;nz pop;pop,BENEE,67,artist,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,729008
4esh7ShzUg71omeoIPnaii,triangle indie,Bright Young Things,0,artist,spotify:artist:4esh7ShzUg71omeoIPnaii,22
73eAAfRkS2Vi4hx68oTJJE,electropop;pop,John K,63,artist,spotify:artist:73eAAfRkS2Vi4hx68oTJJE,230597
3d13oWvwmjcodRr3NzdArc,tropical house,Forester,53,artist,spotify:artist:3d13oWvwmjcodRr3NzdArc,27666
33W1pnW9zScZtYTnAoWnOT,dutch hip hop;tropical house,Mr. Probz,63,artist,spotify:artist:33W1pnW9zScZtYTnAoWnOT,322270
6Ytnandp3KSDg0msjBZ7wC,"",Dooqu,33,artist,spotify:artist:6Ytnandp3KSDg0msjBZ7wC,3852
2P3TZt1qVLIySorIhiVoVq,"",Yvette,16,artist,spotify:artist:2P3TZt1qVLIySorIhiVoVq,35
0jS6VTFGujWxinY5TSQwOG,acid house;classic house;detroit techno;techno,Kevin Saunderson,34,artist,spotify:artist:0jS6VTFGujWxinY5TSQwOG,32840
2T3nYPjWXSAT8K7Gk2aXdT,compositional ambient;focus;neo-classical,Gabriela Parra,33,artist,spotify:artist:2T3nYPjWXSAT8K7Gk2aXdT,2653
0UNvRHyygVMAdJL2OYJS9q,"",Shanice Kudita,0,artist,spotify:artist:0UNvRHyygVMAdJL2OYJS9q,35
4DMDkM0xOw9eBeCpW60ycz,austrian pop,MOUNT,42,artist,spotify:artist:4DMDkM0xOw9eBeCpW60ycz,5529
4F18x5o9JJ3TbuXfyry04n,"",GiGi Grombacher,34,artist,spotify:artist:4F18x5o9JJ3TbuXfyry04n,931
25UzUBawTt2efMKKYNE4Qy,"",Emma Carn,36,artist,spotify:artist:25UzUBawTt2efMKKYNE4Qy,961
